,name,artist
0,DENIAL IS A RIVER,Doechii
1,Not Like Us,Kendrick Lamar
2,luther (with SZA),Kendrick Lamar
3,"Good Luck, Babe!",Chappell Roan
4,BIRDS OF A FEATHER,Billie Eilish
5,Abracadabra,Lady Gaga
6,tv off (feat. Lefty Gunplay),Kendrick Lamar
7,espresso,Sabrina Carpenter
8,All The Stars (with SZA),Kendrick Lamar
9,Die With A Smile,Lady Gaga
10,squabble up,Kendrick Lamar
11,Pink Pony Club,Chappell Roan
12,See You Again (feat. Kali Uchis),"Tyler, the Creator"
13,guess featuring billie eilish,Charli XCX
14,tAsTe,Sabrina Carpenter
15,Like Him (feat. Lola Young),"Tyler, the Creator"
16,HOT TO GO!,Chappell Roan
17,Please Please Please,Sabrina Carpenter
18,NISSAN ALTIMA,Doechii
19,Wildflower,Billie Eilish
20,Cry For Me,The Weeknd
21,360,Charli XCX
22,Red Wine Supernova,Chappell Roan
23,Money Trees,Kendrick Lamar
24,No One Noticed,The Marías
25,Bed Chem,Sabrina Carpenter
26,"STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, the Creator"
27,HUMBLE.,Kendrick Lamar
28,APT.,Rosé
29,Pink + White,Frank Ocean
30,CHIHIRO,Billie Eilish
31,Headlock,Imogen Heap
32,Casual,Chappell Roan
33,Kill Bill,SZA
34,Juno,Sabrina Carpenter
35,Von Dutch,Charli XCX
36,that’s so true,Gracie Abrams
37,Lovers Rock,TV Girl
38,Alright,Kendrick Lamar
39,Earfquake,"Tyler, the Creator"
40,Busy Woman,Sabrina Carpenter
41,Apple,Charli XCX
42,505,Arctic Monkeys
43,CATFISH,Doechii
44,Sailor Song,Gigi Perez
45,Juna,Clairo
46,The Less I Know the Better,Tame Impala
47,Baptized in Fear,The Weeknd
48,Feel Good Inc.,Gorillaz
49,Lunch,Billie Eilish
50,Duvet,bôa
51,Sweater Weather,The Neighbourhood
52,Creep,Radiohead
53,DtMF,Bad Bunny
54,Balloon (Feat. Doechii),"Tyler, the Creator"
55,São Paulo (feat. Anitta),The Weeknd
56,Femininomenon,Chappell Roan
57,PRIDE.,Kendrick Lamar
58,The Perfect Pair,beabadoobee
59,My Love Mine All Mine,Mitski
60,Messy,Lola Young
61,30 For 30 (with Kendrick Lamar),SZA
62,Open Hearts,The Weeknd
63,sports car,Tate McRae
64,peekaboo (feat. AzChike),Kendrick Lamar
65,365,Charli XCX
66,Good Graces,Sabrina Carpenter
67,we can't be friends (wait for your love),Ariana Grande
68,Like That,Future
69,Timeless (Feat Playboi Carti),The Weeknd
70,ST. CHROMA (feat. Daniel Caesar),"Tyler, the Creator"
71,Snooze,SZA
72,No Surprises,Radiohead
73,Bags,Clairo
74,My Kink Is Karma,Chappell Roan
75,Poker Face,Lady Gaga
76,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd
77,Linger,The Cranberries
78,Apocalypse,Cigarettes After Sex
79,I Wanna Be Yours,Arctic Monkeys
80,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths
81,Thinkin Bout You,Frank Ocean
82,Flashing Lights,Kanye West
83,Opening Night,The Weeknd
84,Ivy,Frank Ocean
85,Born Again (feat. Doja Cat & RAYE),Lisa
86,BMF,SZA
87,15 Minutes,Sabrina Carpenter
88,Fade Into You,Mazzy Star
89,White Ferrari,Frank Ocean
90,hey now (feat. Dody6),Kendrick Lamar
91,real man,beabadoobee
92,"Girl, so confusing featuring lorde",Charli XCX
93,Dark Red,Steve Lacy
94,LOVE. FEAT. ZACARI.,Kendrick Lamar
95,disease,Lady Gaga
96,Do I Wanna Know?,Arctic Monkeys
97,DNA.,Kendrick Lamar
98,Why'd You Only Call Me When You're High?,Arctic Monkeys
99,Are We Still Friends?,"Tyler, the Creator"
100,saturn,SZA
101,Not Allowed,TV Girl
102,End of Beginning,Djo
103,Family Ties (with Kendrick Lamar),Baby Keem
104,No. 1 Party Anthem,Arctic Monkeys
105,I Can't Wait to Get There,The Weeknd
106,Judas,Lady Gaga
107,Mr. Brightside,The Killers
108,Just Dance,Lady Gaga
109,Feather,Sabrina Carpenter
110,Good Days,SZA
111,Starboy,The Weeknd
112,Dreams - 2004 Remaster,Fleetwood Mac
113,CRAZY,LE SSERAFIM
114,No Pole,Don Toliver
115,Iris,The Goo Goo Dolls
116,Still into You,Paramore
117,Every Breath You Take,The Police
118,heart pt. 6,Kendrick Lamar
119,Niagara Falls,The Weeknd
120,Locked Out of Heaven,Bruno Mars
121,"I Love You, I'm Sorry",Gracie Abrams
122,Everybody Wants to Rule the World,Tears for Fears
123,Cigarettes out the Window,TV Girl
124,Nonsense,Sabrina Carpenter
125,Given Up on Me,The Weeknd
126,Bad Habit,Steve Lacy
127,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
128,"Darling, I (feat. Teezo Touchdown)","Tyler, the Creator"
129,All I Need,Radiohead
130,Bad Romance,Lady Gaga
131,Timeless,The Weeknd
132,Jigsaw Falling Into Place,Radiohead
133,euphoria,Kendrick Lamar
134,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",Kendrick Lamar
135,She,"Tyler, the Creator"
136,NUEVAYoL,Bad Bunny
137,I Wonder,Kanye West
138,Die For You,The Weeknd
139,Paparazzi,Lady Gaga
140,Naked in Manhattan,Chappell Roan
141,Telephone,Lady Gaga
142,Rah Tah Tah,"Tyler, the Creator"
143,Breakin' Dishes,Rihanna
144,4x4,Travis Scott
145,Promiscuous,Nelly Furtado
146,Stargirl Interlude,The Weeknd
147,The Adults Are Talking,The Strokes
148,Come as You Are,Nirvana
149,Father Stretch My Hands Pt. 1,Kanye West
150,Misery Business,Paramore
151,Into You,Ariana Grande
152,Everlong,Foo Fighters
153,Glue Song,beabadoobee
154,Wake Me Up,The Weeknd
155,Too Sweet,Hozier
156,BOILED PEANUTS,Doechii
157,Diet Pepsi,Addison Rae
158,Wake Me Up (feat. Justice),The Weeknd
159,Couldn’t Make It Any Harder,Sabrina Carpenter
160,From The Start,Laufey
161,THE GREATEST,Billie Eilish
162,Numb,Linkin Park
163,Picture You,Chappell Roan
164,4x4,Travis Scott
165,the boy is mine,Ariana Grande
166,Take Me Back To LA,The Weeknd
167,Reincarnated,Kendrick Lamar
168,Pain,pinkpantheress
169,CLUB CLASSICS,Charli XCX
170,Sundress,A$AP Rocky
171,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis
172,São Paulo,The Weeknd
173,nights,Frank Ocean
174,Sparks,Coldplay
175,Borderline,Tame Impala
176,Bad Reviews,Sabrina Carpenter
177,The Night We Met,Lord Huron
178,wacced out murals,Kendrick Lamar
179,LES,Childish Gambino
180,Sofia,Clairo
181,Heartless,Kanye West
182,NEW MAGIC WAND,"Tyler, the Creator"
183,TIMELESS (feat. Playboi Carti),The Weeknd
184,L’Amour De Ma Vie,Billie Eilish
185,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)",The Weeknd
186,Show Me How,Men I Trust
187,Sexy To Someone,Clairo
188,Daddy Issues,The Neighbourhood
189,Beanie,Chezile
190,Bound 2,Kanye West
191,West Coast,Lana Del Rey
192,Ribs,Lorde
193,Super Graphic Ultra Modern Girl,Chappell Roan
194,Heart to Heart,Mac DeMarco
195,Weird Fishes / Arpeggi,Radiohead
196,Yellow,Coldplay
197,Washing Machine Heart,Mitski
198,BAILE INoLVIDABLE,Bad Bunny
199,I Bet on Losing Dogs,Mitski
